TASK,STATUS,START,DEADLINE
Create Slides for Homeroom,DONE,[2023-02-24 Fri],[2023-02-28 Tue]
Create Google Sheet,DONE,[2023-02-24 Fri],[2023-02-28 Tue]
Create Staff Apology Letter,DONE,[2023-02-24 Fri],[2023-03-01 Wed]
Create Generic Parent Email,DONE,[2023-02-24 Fri],[2023-02-28 Tue]
Determine if Parent Contact is Required,DONE,[2023-02-24 Fri],[2023-03-03 Fri]
Assign a Monitor Teacher,DONE,[2023-02-27 Mon],[2023-03-03 Fri]
Create Standard Operating Procedures,DONE,[2023-03-06 Mon],[2023-03-07 Tue]
Make Copies of Apology letter,DONE,[2023-03-08 Wed],[2023-03-10 Fri]
Inform Staff of SOP,DONE,[2023-03-07 Tue],[2023-03-10 Fri]
Create Second round of Slides,DONE,[2023-03-06 Mon],[2023-03-10 Fri]
Determine Consequences for No Shows,DONE,[2023-02-27 Mon],[2023-03-03 Fri]
Determine Student Notification Procedure,DONE,[2023-02-27 Mon],[2023-03-03 Fri]
Draft Parent Square Notification,DONE,[2023-03-02 Thu],[2023-03-10 Fri]
Meal Service,DONE,[2023-03-06 Mon],[2023-03-10 Fri]
Inform Support Staff of SOP,DONE,[2023-03-06 Mon],[2023-03-10 Fri]
Construct a Rotating Calendar,DONE,[2023-03-20 Mon],[2023-03-22 Wed]
Procedure for Paying Hosts,DONE,[2023-03-20 Mon],[2023-03-22 Wed]
Procedure for Tracking Repeat Students,DONE,[2023-03-20 Mon],[2023-03-22 Wed]
Create Google Form,DONE,[2023-03-20 Mon],[2023-03-22 Wed]
Long-term Procedure for Assigning Detentions,DONE,[2023-03-20 Mon],[2023-03-22 Wed]
Inform Staff of Long-term Procedure,DONE,[2023-03-20 Mon],[2023-03-24 Fri]
Create Documents,DONE,[2023-02-24 Fri],[2023-03-03 Fri]
Education Campaign,DONE,[2023-03-06 Mon],[2023-03-16 Thu]
First Week,DONE,[2023-03-13 Mon],[2023-03-17 Fri]
Second Week,DONE,[2023-03-20 Mon],[2023-03-24 Fri]
Scale Down Detention,STRT,[2023-03-27 Mon],[2023-03-31 Fri]
